OBJECTID,BlockLot,PermitNum,NEIGHBOR,DateIssue,Converted,Year,Longitude,Latitude
1625085,6158A008,USE2019-54276,ELLWOOD PARK/MONUMENT,3/20/20,3/20/20 0:00,2020,-76.57044182,39.29755889
1625121,6159 004,USE2020-55305,ELLWOOD PARK/MONUMENT,11/24/20,11/24/20 0:00,2020,-76.5723569,39.29604044
1625508,6190 001,USE2020-53302,ARMISTEAD GARDENS,8/21/20,8/21/20 0:00,2020,-76.5490768,39.30587008
1625666,6242 006,USE2020-52623,KRESSON,6/26/20,6/26/20 0:00,2020,-76.55972548,39.29350114
1625878,6262 018,USE2020-50508,KRESSON,3/3/20,3/3/20 0:00,2020,-76.56035742,39.29191124
1626113,6269A020,USE2020-51248,BALTIMORE HIGHLANDS,3/16/20,3/16/20 0:00,2020,-76.56659363,39.29523036
1626188,6270 023,USE2020-50691,BALTIMORE HIGHLANDS,11/2/20,11/2/20 0:00,2020,-76.56831098,39.2951505
1627041,6286 026,USE2019-56305,BALTIMORE HIGHLANDS,2/12/20,2/12/20 0:00,2020,-76.56581686,39.29110502
1627079,6287 008,USE2020-50348,BALTIMORE HIGHLANDS,11/25/20,11/25/20 0:00,2020,-76.56718199,39.29060548
1627109,6287 041,USE2019-56006,BALTIMORE HIGHLANDS,1/3/20,1/3/20 0:00,2020,-76.56577763,39.29074182
1627110,6287 042,USE2019-56007,BALTIMORE HIGHLANDS,1/6/20,1/6/20 0:00,2020,-76.56578177,39.29077464
1627117,6287 049,USE2019-55332,BALTIMORE HIGHLANDS,4/18/20,4/18/20 0:00,2020,-76.56606087,39.29085909
1627124,6287 056,USE2020-51983,BALTIMORE HIGHLANDS,7/23/20,7/23/20 0:00,2020,-76.56635741,39.29084846
1627177,6288 018,USE2020-50469,BALTIMORE HIGHLANDS,5/12/20,5/12/20 0:00,2020,-76.56831128,39.2910032
1627202,6288 047,USE2020-50899,BALTIMORE HIGHLANDS,6/11/20,6/11/20 0:00,2020,-76.56827678,39.29118043
1627527,6294 024,USE2020-55129,HIGHLANDTOWN,11/27/20,11/27/20 0:00,2020,-76.5706625,39.28874175
1627597,6295 039,USE2020-52410,HIGHLANDTOWN,6/15/20,6/15/20 0:00,2020,-76.57103555,39.28783326
1627644,6296 040,USE2019-50996,HIGHLANDTOWN,5/27/20,5/27/20 0:00,2020,-76.57032295,39.28787073
1628496,6315B036,USE2020-51496,HIGHLANDTOWN,3/30/20,3/30/20 0:00,2020,-76.56355262,39.28710428
1628569,6323 005,USE2020-51644,GREEKTOWN,4/14/20,4/14/20 0:00,2020,-76.55839637,39.2887363
1628570,6323 006,USE2020-51645,GREEKTOWN,4/14/20,4/14/20 0:00,2020,-76.55839464,39.28870225
1628794,6330 030,USE2019-55576,GREEKTOWN,2/27/20,2/27/20 0:00,2020,-76.55639642,39.28775675
1629336,6344B053,USE2020-50139,BAYVIEW,1/24/20,1/24/20 0:00,2020,-76.54035296,39.28952062
1630343,6425A018,USE2019-55162,BREWERS HILL,3/25/20,3/25/20 0:00,2020,-76.56565798,39.28638351
1630370,6427 008,USE2017-54550,BREWERS HILL,1/24/20,1/24/20 0:00,2020,-76.56314018,39.28655398
1632645,6552 039,USE2020-52985,GREEKTOWN,8/10/20,8/10/20 0:00,2020,-76.55705314,39.28655543
1632844,6558 018,USE2020-51080,GREEKTOWN,3/3/20,3/3/20 0:00,2020,-76.55593522,39.28528663
1635230,6770 061,USE2020-53088,GRACELAND PARK,8/25/20,8/25/20 0:00,2020,-76.53542026,39.28015071
1636120,6984 001,USE2019-55708,SAINT HELENA,3/12/20,3/12/20 0:00,2020,-76.52989146,39.26183039
1637072,7057A026,USE2020-50894,BROOKLYN,5/14/20,5/14/20 0:00,2020,-76.5996625,39.23846476
1637117,7065 023A,USE2020-52896,BROOKLYN,7/24/20,7/24/20 0:00,2020,-76.60072675,39.23737271
1637691,7085 004,USE2020-50346,BROOKLYN,4/13/20,4/13/20 0:00,2020,-76.60234252,39.23562314
1637724,7086 016,USE2020-50396,BROOKLYN,3/19/20,3/19/20 0:00,2020,-76.59966854,39.23531308
1637752,7087 013,USE2020-50791,BROOKLYN,10/13/20,10/13/20 0:00,2020,-76.59817592,39.23475449
1637841,7090 004,USE2020-53210,BROOKLYN,8/5/20,8/5/20 0:00,2020,-76.6091907,39.23637907
1637855,7090 017,USE2020-50273,BROOKLYN,3/16/20,3/16/20 0:00,2020,-76.6085603,39.23676006
1638218,7095A097,USE2020-52452,BROOKLYN,10/2/20,10/2/20 0:00,2020,-76.60073563,39.23329172
1638263,7095A142,USE2020-52087,BROOKLYN,6/15/20,6/15/20 0:00,2020,-76.60175262,39.23120039
1638274,7095A153,USE2020-51937,BROOKLYN,9/15/20,9/15/20 0:00,2020,-76.6018803,39.23064222
1638352,7096 032E,USE2019-55539,BROOKLYN,2/27/20,2/27/20 0:00,2020,-76.59875741,39.23341356
1638359,7096 039,USE2020-51696,BROOKLYN,10/2/20,10/2/20 0:00,2020,-76.59975958,39.23380624
1638377,7097 016,USE2020-53833,BROOKLYN,8/28/20,8/28/20 0:00,2020,-76.59802657,39.232973
1638419,7098 021B,USE2020-50986,BROOKLYN,12/30/20,12/30/20 0:00,2020,-76.61010608,39.23578443
1638541,7103 033,USE2020-54264,BROOKLYN,10/14/20,10/14/20 0:00,2020,-76.60282087,39.23321049
1638613,7106 034,USE2020-50766,BROOKLYN,4/29/20,4/29/20 0:00,2020,-76.59810052,39.23198961
1638746,7116 053,USE2020-50107,BROOKLYN,2/19/20,2/19/20 0:00,2020,-76.59985762,39.23161501
1638756,7117 010,USE2020-52544,BROOKLYN,6/26/20,6/26/20 0:00,2020,-76.59934404,39.23145999
1638759,7117 013,USE2020-50974,BROOKLYN,4/6/20,4/6/20 0:00,2020,-76.59914586,39.2313983
1638784,7118 017,USE2019-55938,BROOKLYN,2/26/20,2/26/20 0:00,2020,-76.59935654,39.23071777
1638821,7119 018,USE2020-52526,BROOKLYN,6/18/20,6/18/20 0:00,2020,-76.60100152,39.23081063
1638941,7128 002,USE2020-52847,BROOKLYN,7/9/20,7/9/20 0:00,2020,-76.60657007,39.2315307
1639004,7130 023,USE2020-53107,BROOKLYN,8/13/20,8/13/20 0:00,2020,-76.60625266,39.2302937
1639020,7131 023,USE2020-50743,BROOKLYN,2/18/20,2/18/20 0:00,2020,-76.60396456,39.23180422
1639090,7133 018,USE2020-52386,BROOKLYN,9/24/20,9/24/20 0:00,2020,-76.60390133,39.23034616
1639223,7136 013C,USE2020-53718,BROOKLYN,8/31/20,8/31/20 0:00,2020,-76.60333092,39.22915851
1639225,7136 014,USE2020-51192,BROOKLYN,9/22/20,9/22/20 0:00,2020,-76.60317936,39.22922267
1639923,7190 039,USE2020-50778,CURTIS BAY,5/1/20,5/1/20 0:00,2020,-76.58734423,39.22280767
1640126,7200 097,USE2020-50958,CURTIS BAY,3/12/20,3/12/20 0:00,2020,-76.59005706,39.22419942
1640307,7225 012,USE2020-00003,CURTIS BAY,1/3/20,1/3/20 0:00,2020,-76.58796915,39.22630276
1640470,7229 026,USE2020-54187,CURTIS BAY,9/25/20,9/25/20 0:00,2020,-76.5876704,39.22779604
1640482,7229 038,USE2020-51735,CURTIS BAY,4/28/20,4/28/20 0:00,2020,-76.58790226,39.22823653
1640641,7231 097,USE2020-52737,CURTIS BAY,7/1/20,7/1/20 0:00,2020,-76.59087434,39.22722886
1640792,7245A034,USE2020-53143,BROOKLYN,9/17/20,9/17/20 0:00,2020,-76.59561648,39.23217579
1640815,7245A065,USE2019-56016,BROOKLYN,1/6/20,1/6/20 0:00,2020,-76.59530194,39.23192354
1640871,7245C020,USE2019-55480,BROOKLYN,1/7/20,1/7/20 0:00,2020,-76.59539051,39.23175187
1640939,7257 068,USE2019-53459,CURTIS BAY,12/10/20,12/10/20 0:00,2020,-76.59215351,39.22902273
1641924,7386H003B,USE2020-52537,CURTIS BAY INDUSTRIAL AREA,7/27/20,7/27/20 0:00,2020,-76.58147216,39.2210268
1641948,7419C006,USE2019-56228,WESTPORT,1/28/20,1/28/20 0:00,2020,-76.63149459,39.26653568
1642120,7441 018,USE2019-56230,WESTPORT,1/28/20,1/28/20 0:00,2020,-76.63186117,39.26379429
1642657,7470B002,USE2019-55946,LAKELAND,2/27/20,2/27/20 0:00,2020,-76.6430228,39.25644233
1642671,7470B016,USE2020-50151,LAKELAND,7/13/20,7/13/20 0:00,2020,-76.64289676,39.25577293
